gene1,gene2,type,CC_sum,MF_sum,BP_sum
AP3M2,AP3M1,Others,7,2,5
AP3S2,AP3S1,Others,8,1,3
APH1B,APH1A,Others,20,11,44
ARHGEF7,ARHGEF6,Others,6,6,18
ASAP2,ASAP1,Others,3,5,4
ATF7,ATF2,Others,11,28,18
ATP6V1B2,ATP6V1B1,Others,8,4,16
B4GALT2,B4GALT1,Others,19,11,10
BAG4,BAG3,Others,19,13,24
BCL11B,BCL11A,Others,3,8,8
BTBD11,ABTB2,Others,0,1,1
BTBD2,BTBD1,Others,10,4,3
BTN2A2,BTN2A1,Others,5,4,5
BZW2,BZW1,Others,6,4,0
CADPS2,CADPS,Others,5,1,4
CAMKK2,CAMKK1,Others,7,7,12
CAND2,CAND1,Others,18,2,11
CAP2,CAP1,Others,6,6,13
CCNYL1,CCNY,Others,7,5,5
CDC42BPB,CDC42BPA,Others,10,9,14
CDH3,CDH1,Others,27,13,32
CERKL,CERK,Others,5,7,8
CHSY3,CHSY1,Others,4,6,6
CLTB,CLTA,Others,19,6,10
CLTCL1,CLTC,Others,33,10,28
CNNM4,CNNM2,Others,7,6,7
COPZ2,COPZ1,Others,12,0,11
CREB1,ATF1,Others,15,22,8
CREM,ATF1,Others,10,15,6
CTPS2,CTPS1,Others,8,11,13
CUX2,CUX1,Others,10,10,6
CYFIP2,CYFIP1,Others,17,4,23
DGKZ,DGKI,Others,14,7,17
DHRS4L2,DHRS4,Others,5,5,4
DIAPH3,DIAPH1,Others,6,4,9
DNAJB14,DNAJB12,Others,8,4,12
DPP9,DPP8,Others,4,3,1
DUOX2,DUOX1,Others,18,7,19
DYNLRB2,DYNLRB1,Others,12,3,4
DYRK3,DYRK2,Others,20,14,22
EFR3B,EFR3A,Others,7,1,6
ENOX2,ENOX1,Others,3,2,1
ENSA,ARPP19,Others,4,9,7
ERLIN2,ERLIN1,Others,14,6,12
ERO1B,ERO1A,Others,7,8,9
ESRP2,ESRP1,Others,11,8,6
EXOC6B,EXOC6,Others,6,2,4
FAHD2B,FAHD2A,Others,0,3,0
FAM200B,FAM200A,Others,0,1,0
FAM76B,FAM76A,Others,2,1,0
FEZ2,FEZ1,Others,5,2,8
FEZF2,FEZF1,Others,3,3,2
FHOD3,FHOD1,Others,10,7,10
FIGNL1,FIGN,Others,4,6,4
FN3KRP,FN3K,Others,3,6,5
FOXN3,FOXN2,Others,7,10,4
FRS3,FRS2,Others,6,8,13
FRYL,FRY,Others,4,1,4
GFOD2,GFOD1,Others,1,1,1
GLB1L,GLB1,Others,10,7,5
GNA13,GNA12,Others,13,10,16
GNPDA2,GNPDA1,Others,6,7,13
GOLT1B,GOLT1A,Others,11,3,2
GPR108,GPR107,Others,7,2,3
GRIP2,GRIP1,Others,4,5,2
GRK3,GRK2,Others,7,6,12
HEATR5B,HEATR5A,Others,3,1,6
HEXB,HEXA,Others,12,8,12
HIPK3,HIPK1,Others,15,7,14
HMGCLL1,HMGCL,Others,14,9,13
HMGCS2,HMGCS1,Others,6,7,11
IDH2,IDH1,Others,18,9,11
IFRD2,IFRD1,Others,2,2,2
IPO8,IPO7,Others,10,7,6
IQGAP3,IQGAP1,Others,18,23,12
JUP,CTNNB1,Others,48,41,79
KBTBD7,KBTBD6,Others,4,4,5
KCNT2,KCNT1,Others,5,5,1
KCTD5,KCTD2,Others,5,6,2
KDM5B,KDM5A,Others,8,24,8
KMT2D,KMT2C,Others,9,13,13
LCORL,LCOR,Others,3,9,4
LDB2,LDB1,Others,12,10,9
LIN7C,LIN7B,Others,14,8,9
LMAN2L,LMAN2,Others,17,8,10
LMBR1L,LMBR1,Others,5,5,5
LMNB2,LMNB1,Others,8,5,2
MACF1,DST,Others,27,13,18
MAGOHB,MAGOH,Others,13,4,18
MANF,CDNF,Others,8,3,6
MAP3K3,MAP3K2,Others,3,6,12
MAPKAPK3,MAPKAPK2,Others,14,16,32
MAT2A,MAT1A,Others,6,8,12
MBTD1,L3MBTL2,Others,4,11,3
MED12L,MED12,Others,6,9,6
METTL2B,METTL2A,Others,0,5,2
MKNK2,MKNK1,Others,8,13,14
MMD2,MMD,Others,4,4,7
MORF4L2,MORF4L1,Others,12,3,14
MRFAP1L1,MRFAP1,Others,1,3,0
MTHFD2L,MTHFD2,Others,6,15,5
MYEF2,HNRNPM,Others,18,6,10
MYL6B,MYL6,Others,12,6,6
MZT2B,MZT2A,Others,16,2,0
NAA11,NAA10,Others,13,11,10
NAA16,NAA15,Others,16,8,9
NAP1L4,NAP1L1,Others,7,10,5
NAPB,NAPA,Others,10,6,13
NBEAL2,NBEAL1,Others,8,3,4
NCKAP1L,NCKAP1,Others,14,6,34
NETO2,NETO1,Others,0,0,1
NFIC,NFIA,Others,9,13,7
NIPSNAP2,NIPSNAP1,Others,5,2,3
NKAPL,NKAP,Others,4,5,6
NKIRAS2,NKIRAS1,Others,4,0,0
NMT2,NMT1,Others,13,9,10
NOVA2,NOVA1,Others,7,5,12
NPAS2,CLOCK,Others,17,19,26
NT5DC3,NT5DC2,Others,1,2,0
NUCB2,NUCB1,Others,12,4,2
NUP210L,NUP210,Others,4,0,9
NXT2,NXT1,Others,10,2,5
PAPSS2,PAPSS1,Others,2,6,10
PARD3B,PARD3,Others,17,4,19
PCCB,MCCC2,Others,12,5,7
PGK2,PGK1,Others,10,9,11
PGM5,PGM1,Others,18,5,11
PHF20L1,PHF20,Others,10,2,11
PHIP,BRWD1,Others,6,3,14
PHTF2,PHTF1,Others,1,0,0
PLCD4,PLCD1,Others,7,7,6
PNMA1,MOAP1,Others,8,3,8
PPIP5K2,PPIP5K1,Others,7,13,7
PPM1B,PPM1A,Others,12,7,22
PPP3CB,PPP3CA,Others,19,21,31
PRAF2,ARL6IP5,Others,3,3,6
PRDM16,MECOM,Others,12,12,11
PRKAB2,PRKAB1,Others,11,7,18
PRPF40B,PRPF40A,Others,8,5,7
PURB,PURA,Others,5,11,5
PUS7L,PUS7,Others,3,7,7
PXDNL,PXDN,Others,8,7,3
R3HDM2,R3HDM1,Others,0,3,0
RAD23B,RAD23A,Others,18,14,18
RALGAPA2,RALGAPA1,Others,6,3,0
RALGPS2,RALGPS1,Others,1,2,1
RAPGEF6,RAPGEF2,Others,15,13,28
RBPJL,RBPJ,Others,10,18,13
RPL10L,RPL10,Others,16,7,12
RPL3L,RPL3,Others,15,6,6
RPS6KB2,RPS6KB1,Others,8,9,22
RSBN1L,RSBN1,Others,2,0,0
SAMD4B,SAMD4A,Others,6,9,7
SEC61A2,SEC61A1,Others,6,9,10
SFXN2,SFXN1,Others,5,8,9
SGTB,SGTA,Others,8,7,11
SIRT3,SIRT2,Others,19,25,34
SLC11A2,SLC11A1,Others,39,27,23
SLC25A2,SLC25A15,Others,2,3,4
SLC25A36,SLC25A33,Others,1,4,21
SLC41A3,SLC41A1,Others,7,6,5
SMARCA5,SMARCA1,Others,17,13,16
SNRPN,SNRPB,Others,38,5,14
SNX2,SNX1,Others,23,21,9
STRIP2,STRIP1,Others,7,3,7
STX6,STX10,Others,23,8,15
TAF1L,TAF1,Others,13,26,38
TAF9B,TAF9,Others,16,17,27
TBC1D22B,TBC1D22A,Others,0,7,4
TBPL2,TBP,Others,11,16,17
TIGD2,JRKL,Others,2,2,1
TIMM23B,TIMM23,Others,11,4,4
TMED5,TMED1,Others,14,3,10
TMED9,TMED4,Others,17,2,13
TMEM30B,TMEM30A,Others,13,4,11
TMEM50B,TMEM50A,Others,3,3,3
TMEM63B,TMEM63A,Others,12,5,1
TMEM9B,TMEM9,Others,8,3,5
TOM1L2,TOM1,Others,14,7,6
TOMM40L,TOMM40,Others,10,5,6
TOR1B,TOR1A,Others,17,12,17
TPST2,TPST1,Others,7,8,7
TRAPPC3L,TRAPPC3,Others,11,2,6
TRIM33,TRIM24,Others,5,13,10
TRIO,KALRN,Others,6,4,11
TRIP10,FNBP1L,Others,8,5,11
TST,MPST,Others,7,6,10
TTC30B,TTC30A,Others,8,3,3
TWF2,TWF1,Others,12,13,18
TYK2,JAK1,Others,9,12,28
UBALD2,UBALD1,Others,0,1,0
UBTD2,UBTD1,Others,0,2,0
UCK2,UCK1,Others,7,1,2
UGGT2,UGGT1,Others,8,8,7
UNC45B,UNC45A,Others,3,5,2
UQCRC1,PMPCB,Others,8,6,6
USP28,USP25,Others,11,14,21
USP33,USP20,Others,12,12,18
USP4,USP15,Others,13,12,16
USP46,USP12,Others,6,10,5
USP5,USP13,Others,8,17,19
UTP14C,UTP14A,Others,9,3,1
UTRN,DMD,Others,21,14,8
VANGL2,VANGL1,Others,3,2,2
VPS26B,VPS26A,Others,13,2,9
WDFY2,WDFY1,Others,6,3,4
WDR20,DMWD,Others,2,2,1
WDR62,MAPKBP1,Others,11,2,9
YIPF7,YIPF5,Others,4,1,0
ZDHHC18,ZDHHC14,Others,6,5,8
ZDHHC7,ZDHHC3,Others,8,6,22
ZNF302,ZNF181,Others,2,5,2
ZNF324B,ZNF324,Others,3,5,4
ZNF562,ZNF561,Others,1,4,2
ZNF587B,ZNF552,Others,1,6,3
ZNF773,ZNF419,Others,2,6,2
AGPAT4,AGPAT3,Others,12,8,2
AMMECR1L,AMMECR1,Others,5,1,1
ANXA2,ANXA1,Others,51,29,84
AP1G2,AP1G1,Others,20,9,11
AP3B2,AP3B1,Others,3,3,6
ATG4B,ATG4A,Others,1,5,5
BCAT2,BCAT1,Others,5,3,7
CERS3,CERS2,Others,6,8,8
CERS6,CERS5,Others,5,7,6
CNOT6L,CNOT6,Others,14,11,14
DENND5B,DENND5A,Others,4,3,1
DENND6B,DENND6A,Others,7,2,1
DGKH,DGKD,Others,11,11,18
DNASE1L2,DNASE1,Others,4,7,5
DYRK1B,DYRK1A,Others,10,11,18
FAM102B,FAM102A,Others,0,1,0
FAM168B,FAM168A,Others,1,1,2
FAR2,FAR1,Others,10,7,9
FBXL20,FBXL2,Others,6,4,11
FBXO32,FBXO25,Others,6,1,3
FKBP9,FKBP10,Others,1,1,0
FSCN2,FSCN1,Others,24,9,25
GADL1,CSAD,Others,1,0,2
GALNT13,GALNT1,Others,7,3,7
GATA3,GATA2,Others,9,26,69
GPD1L,GPD1,Others,7,4,13
GPSM2,GPSM1,Others,15,8,11
HEY2,HEY1,Others,8,17,32
HOXB7,HOXA7,Others,10,16,13
HS6ST3,HS6ST1,Others,2,4,4
IDI2,IDI1,Others,7,4,7
JAG2,JAG1,Others,5,8,18
KIF13B,KIF13A,Others,9,10,11
KLF7,KLF6,Others,11,14,10
KLHL3,KLHL2,Others,7,6,13
LANCL2,LANCL1,Others,8,10,2
LRIG3,LRIG2,Others,5,2,0
LRRN3,LRRN1,Others,4,1,0
MAN2A2,MAN2A1,Others,7,2,4
MPP7,MPP3,Others,5,6,5
MSX2,MSX1,Others,8,12,15
NECAP2,NECAP1,Others,3,1,3
NSG2,NSG1,Others,8,4,5
NT5M,NT5C,Others,7,6,8
PDE8B,PDE8A,Others,4,8,11
PHIP,BRWD3,Others,2,2,12
PHYKPL,ETNPPL,Others,3,3,3
PRKCQ,PRKCD,Others,16,16,55
PTGS2,PTGS1,Others,12,5,11
PTPN4,PTPN3,Others,11,9,8
RALYL,RALY,Others,5,7,1
RBM38,RBM24,Others,6,8,10
RFX3,RFX2,Others,4,13,4
RHOBTB2,RHOBTB1,Others,16,8,14
RIMKLB,RIMKLA,Others,4,5,2
RIT2,RIT1,Others,7,14,10
RNF144B,RNF144A,Others,13,8,10
SFMBT2,SFMBT1,Others,11,9,6
SH3BGRL2,SH3BGRL,Others,6,0,0
SHKBP1,KCTD3,Others,0,2,1
SIPA1L2,SIPA1L1,Others,6,3,4
SLC18A2,SLC18A1,Others,12,7,8
SLC25A13,SLC25A12,Others,5,14,20
SLC25A30,SLC25A14,Others,3,14,15
SLC35D2,SLC35D1,Others,5,9,4
STXBP2,STXBP1,Others,19,11,20
TBC1D8B,TBC1D8,Others,2,4,8
TBX18,TBX15,Others,4,10,10
TNFAIP8L2,TNFAIP8L1,Others,2,3,3
TSPAN9,TSPAN4,Others,8,4,2
TTC21B,TTC21A,Others,5,0,10
TUSC3,MAGT1,Others,10,4,14
WIPI2,WIPI1,Others,21,13,18
YBX3,YBX1,Others,17,13,17
ZNF396,ZNF24,Others,2,10,4
ZYG11B,ZYG11A,Others,3,1,2
ABCB7,ABCB6,Others,17,10,11
ABCF3,ABCF1,Others,4,7,3
ABHD12B,ABHD12,Others,6,9,9
ACAP3,ACAP2,Others,3,1,1
ACSF3,ACSF2,Others,4,10,7
ACTR1B,ACTG1,Others,23,7,18
ADAM17,ADAM10,Others,32,24,60
ADAMTSL3,ADAMTSL1,Others,4,3,2
AGAP3,AGAP1,Others,5,4,3
AGAP9,AGAP1,Others,2,2,0
AGFG2,AGFG1,Others,6,3,3
AHRR,AHR,Others,17,21,15
AK8,AK2,Others,6,10,6
AKT2,AKT1,Others,22,22,114
ANKRD12,ANKRD11,Others,6,0,4
ANXA7,ANXA11,Others,21,11,8
APC2,APC,Others,36,18,48
APPL2,APPL1,Others,23,15,22
ARHGEF12,ARHGEF11,Others,5,5,10
ASAH2B,ASAH2,Others,6,6,17
ASIC3,ASIC1,Others,7,8,12
ASXL3,ASXL1,Others,4,5,7
ATAD3B,ATAD3A,Others,7,3,6
ATF7IP2,ATF7IP,Others,6,1,7
ATG2B,ATG2A,Others,5,4,11
ATP7B,ATP7A,Others,22,13,17
ATXN2L,ATXN2,Others,16,9,9
AXIN2,AXIN1,Others,11,14,30
B3GALT6,B3GALNT2,Others,6,7,7
BACH2,BACH1,Others,8,11,9
BANF2,BANF1,Others,10,9,9
BAZ2B,BAZ2A,Others,3,4,1
BCR,ABR,Others,8,9,14
BET1L,BET1,Others,13,4,9
BRD9,BRD7,Others,10,12,10
BRMS1L,BRMS1,Others,5,5,9
BTG4,BTG3,Others,6,1,8
BTN3A3,BTN3A1,Others,7,3,9
CAMTA2,CAMTA1,Others,6,9,7
CAPRIN2,CAPRIN1,Others,10,4,5
CASKIN2,CASKIN1,Others,3,3,1
CBX5,CBX3,Others,21,11,10
CC2D1B,CC2D1A,Others,9,9,4
CCDC85C,CCDC85A,Others,3,1,1
CCNG2,CCNG1,Others,7,3,4
CDC14B,CDC14A,Others,20,10,17
CDC37L1,CDC37,Others,11,11,10
CDK5,CDK3,Others,8,8,33
CDK5R2,CDK5R1,Others,6,7,8
CDK8,CDK19,Others,11,6,4
CHKB,CHKA,Others,2,5,9
CHMP2B,CHMP2A,Others,22,6,51
CISD2,CISD1,Others,9,7,2
CLPTM1L,CLPTM1,Others,7,2,0
CLSTN3,CLSTN1,Others,4,5,5
CNGB3,CNGB1,Others,6,12,7
CNKSR2,CNKSR1,Others,5,4,4
COQ8B,COQ8A,Others,4,5,6
CORO1C,CORO1B,Others,17,11,36
COX4I2,COX4I1,Others,9,2,4
COX6B2,COX6B1,Others,7,1,2
CPEB4,CPEB2,Others,14,11,5
CPNE2,CPNE1,Others,12,10,21
CPS1,CAD,Others,13,10,17
CPSF7,CPSF6,Others,17,8,15
CREG2,CREG1,Others,6,1,3
CSNK1G2,CSNK1G1,Others,9,7,13
CTBP2,CTBP1,Others,5,14,14
