V1,V3,V4,gene1,gene2,hct116.T21.gi.GEMINI,GM.T15.gi.GEMINI,hct116.significant.GEMINI,GM12878.significant.GEMINI
choose,ENSG00000103042,ENSG00000166558,SLC38A7,SLC38A8,0.079,0.2,N,N
gi2,ENSG00000105220,ENSG00000105851,GPI,PIK3CG,-0.121,-0.512,N,N
choose,ENSG00000100376,ENSG00000197798,FAM118A,FAM118B,-0.025,0.021,N,N
choose,ENSG00000131914,ENSG00000187772,LIN28A,LIN28B,0.098,-0.162,N,N
choose,ENSG00000149212,ENSG00000080546,SESN3,SESN1,0.101,-0.209,N,N
gi2,ENSG00000100033,ENSG00000128311,PRODH,TST,0.561,0.376,N,N
choose,ENSG00000135119,ENSG00000189050,RNFT2,RNFT1,-0.053,-0.227,N,N
choose,ENSG00000103365,ENSG00000125447,GGA2,GGA3,0.334,0.261,N,N
choose,ENSG00000122557,ENSG00000051108,HERPUD2,HERPUD1,0.177,0.198,N,N
choose,ENSG00000148935,ENSG00000139354,GAS2,GAS2L3,0.124,0.482,N,N
choose,ENSG00000110880,ENSG00000167549,CORO1C,CORO6,0.244,0.876,N,N
choose,ENSG00000100968,ENSG00000072736,NFATC4,NFATC3,0.097,0.681,N,N
choose,ENSG00000144746,ENSG00000243279,ARL6IP5,PRAF2,-0.16,-0.082,N,N
gi1,ENSG00000135446,ENSG00000105810,CDK4,CDK6,0.22,-0.324,N,N
choose,ENSG00000132326,ENSG00000179094,PER2,PER1,0.236,0.132,N,N
choose,ENSG00000069424,ENSG00000169282,KCNAB2,KCNAB1,-0.05,0.294,N,N
choose,ENSG00000109790,ENSG00000102271,KLHL5,KLHL4,-0.055,0.447,N,N
choose,ENSG00000090905,ENSG00000100354,TNRC6A,TNRC6B,0.298,0.141,N,N
choose,ENSG00000148832,ENSG00000088826,PAOX,SMOX,-0.457,0.095,N,N
choose,ENSG00000135686,ENSG00000167487,KLHL36,KLHL26,-0.406,0.106,N,N
choose,ENSG00000187800,ENSG00000145794,PEAR1,MEGF10,-0.089,0.819,N,N
choose,ENSG00000138795,ENSG00000081059,LEF1,TCF7,0.248,0.197,N,N
choose,ENSG00000077157,ENSG00000058272,PPP1R12B,PPP1R12A,-1.717,-0.693,N,N
gi2,ENSG00000139626,ENSG00000076984,ITGB7,MAP2K7,-0.355,0.041,N,N
choose,ENSG00000115694,ENSG00000134602,STK25,MST4,-0.158,-0.102,N,N
choose,ENSG00000142765,ENSG00000164674,SYTL1,SYTL3,0.335,0.755,N,N
choose,ENSG00000086015,ENSG00000105613,MAST2,MAST1,0.234,0.299,N,N
choose,ENSG00000141052,ENSG00000196588,MYOCD,MKL1,0.033,0.15,N,N
choose,ENSG00000136141,ENSG00000130224,LRCH1,LRCH2,0.128,-0.018,N,N
choose,ENSG00000112273,ENSG00000143321,HDGFL1,HDGF,0.437,-0.253,N,N
choose,ENSG00000163132,ENSG00000120149,MSX1,MSX2,-0.078,0.132,N,N
choose,ENSG00000178177,ENSG00000196233,LCORL,LCOR,0.311,0.202,N,N
choose,ENSG00000150995,ENSG00000123104,ITPR1,ITPR2,0.005,0.345,N,N
choose,ENSG00000123124,ENSG00000078747,WWP1,ITCH,0.279,0.432,N,N
choose,ENSG00000141200,ENSG00000068796,KIF2B,KIF2A,-0.167,0.766,N,N
choose,ENSG00000175040,ENSG00000122863,CHST2,CHST3,-0.188,-0.126,N,N
choose,ENSG00000008256,ENSG00000100055,CYTH3,CYTH4,-0.123,0.28,N,N
choose,ENSG00000144426,ENSG00000160796,NBEAL1,NBEAL2,-0.093,0.101,N,N
choose,ENSG00000157399,ENSG00000006756,ARSE,ARSD,-0.187,-0.212,N,N
choose,ENSG00000100852,ENSG00000160007,ARHGAP5,ARHGAP35,-0.067,0.156,N,N
choose,ENSG00000136068,ENSG00000128591,FLNB,FLNC,-0.107,0.585,N,N
gi2,ENSG00000100823,ENSG00000143799,APEX1,PARP1,0.481,0.23,N,N
choose,ENSG00000213928,ENSG00000140968,IRF9,IRF8,-0.213,0.153,N,N
gi2,ENSG00000052344,ENSG00000176170,PRSS8,SPHK1,-0.08,0.347,N,N
choose,ENSG00000143515,ENSG00000081923,ATP8B2,ATP8B1,0.026,-0.743,N,N
choose,ENSG00000163874,ENSG00000102053,ZC3H12A,ZC3H12B,0.02,-0.181,N,N
choose,ENSG00000070915,ENSG00000064651,SLC12A3,SLC12A2,-0.067,0.125,N,N
choose,ENSG00000114378,ENSG00000106304,HYAL1,SPAM1,0.166,0.309,N,N
choose,ENSG00000187848,ENSG00000135124,P2RX2,P2RX4,-0.005,-0.131,N,N
choose,ENSG00000120899,ENSG00000169398,PTK2B,PTK2,-0.282,-0.22,N,N
choose,ENSG00000187672,ENSG00000082805,ERC2,ERC1,-0.151,0.006,N,N
choose,ENSG00000143457,ENSG00000113384,GOLPH3L,GOLPH3,0.009,-0.727,N,N
choose,ENSG00000152214,ENSG00000143622,RIT2,RIT1,0.016,0.077,N,N
choose,ENSG00000119977,ENSG00000204852,TCTN3,TCTN1,0.064,0.021,N,N
gi2,ENSG00000162733,ENSG00000167900,DDR2,TK1,-0.054,0.119,N,N
choose,ENSG00000117139,ENSG00000073614,KDM5B,KDM5A,-0.144,0.174,N,N
choose,ENSG00000198915,ENSG00000138670,RASGEF1A,RASGEF1B,0.178,-0.206,N,N
choose,ENSG00000196782,ENSG00000161021,MAML3,MAML1,0.101,0.636,N,N
gi2,ENSG00000123454,ENSG00000171608,DBH,PIK3CD,0.157,0.08,N,N
choose,ENSG00000181350,ENSG00000178026,FAM211A,FAM211B,-0.058,0.124,N,N
choose,ENSG00000171759,ENSG00000139287,PAH,TPH2,0.04,-0.159,N,N
choose,ENSG00000007038,ENSG00000187045,PRSS21,TMPRSS6,-0.161,0.244,N,N
choose,ENSG00000154027,ENSG00000106992,AK5,AK1,-0.112,0.302,N,N
choose,ENSG00000197217,ENSG00000138185,ENTPD4,ENTPD1,-0.113,0.084,N,N
choose,ENSG00000075618,ENSG00000186765,FSCN1,FSCN2,0.018,-0.019,N,N
choose,ENSG00000123836,ENSG00000170525,PFKFB2,PFKFB3,-0.1,0.37,N,N
choose,ENSG00000100888,ENSG00000177200,CHD8,CHD9,-0.457,-0.803,N,N
choose,ENSG00000117519,ENSG00000130176,CNN3,CNN1,-0.097,0.241,N,N
choose,ENSG00000180488,ENSG00000148343,FAM73A,FAM73B,0.252,-0.232,N,N
choose,ENSG00000198265,ENSG00000130589,HELZ,HELZ2,0.041,-0.137,N,N
choose,ENSG00000132535,ENSG00000082458,DLG4,DLG3,0.012,0.133,N,N
choose,ENSG00000172046,ENSG00000102226,USP19,USP11,-0.57,-0.116,N,N
choose,ENSG00000143033,ENSG00000119403,MTF2,PHF19,0.506,-0.056,N,N
gi2,ENSG00000167258,ENSG00000141068,CDK12,KSR1,0.211,-0.664,N,N
choose,ENSG00000115641,ENSG00000022267,FHL2,FHL1,0.116,0.254,N,N
choose,ENSG00000106052,ENSG00000012822,TAX1BP1,CALCOCO1,0.582,0.247,N,N
choose,ENSG00000104723,ENSG00000102158,TUSC3,MAGT1,0.076,-0.074,N,N
choose,ENSG00000135749,ENSG00000100731,PCNXL2,PCNX,0.217,-0.018,N,N
choose,ENSG00000150995,ENSG00000096433,ITPR1,ITPR3,0.127,0.122,N,N
choose,ENSG00000158106,ENSG00000131941,RHPN1,RHPN2,0.161,0.325,N,N
choose,ENSG00000121988,ENSG00000163104,ZRANB3,SMARCAD1,-0.103,-0.418,N,N
choose,ENSG00000163625,ENSG00000128815,WDFY3,WDFY4,0.083,0.416,N,N
choose,ENSG00000175938,ENSG00000182500,ORAI3,ORAI1,0.445,0.688,N,N
choose,ENSG00000152061,ENSG00000011454,RABGAP1L,RABGAP1,0.105,0.386,N,N
choose,ENSG00000175602,ENSG00000205476,CCDC85B,CCDC85C,0.067,-0.164,N,N
choose,ENSG00000106003,ENSG00000169733,LFNG,RFNG,-0.341,0.171,N,N
gi2,ENSG00000164045,ENSG00000253729,CDC25A,PRKDC,-0.621,-0.157,N,N
choose,ENSG00000100320,ENSG00000078328,RBFOX2,RBFOX1,0.499,0.699,N,N
choose,ENSG00000175048,ENSG00000204160,ZDHHC14,ZDHHC18,0.017,-0.146,N,N
choose,ENSG00000166949,ENSG00000175387,SMAD3,SMAD2,-0.028,-0.01,N,N
choose,ENSG00000129682,ENSG00000102466,FGF13,FGF14,-0.143,-0.409,N,N
choose,ENSG00000141485,ENSG00000158296,SLC13A5,SLC13A3,-0.107,0.363,N,N
choose,ENSG00000198400,ENSG00000148053,NTRK1,NTRK2,0.178,-0.04,N,N
choose,ENSG00000114021,ENSG00000158793,NIT2,NIT1,-0.133,0.436,N,N
choose,ENSG00000085117,ENSG00000011105,CD82,TSPAN9,0.219,0.067,N,N
choose,ENSG00000131389,ENSG00000132164,SLC6A6,SLC6A11,-0.053,0.121,N,N
choose,ENSG00000175040,ENSG00000147119,CHST2,CHST7,-0.205,-0.165,N,N
choose,ENSG00000100644,ENSG00000124440,HIF1A,HIF3A,-0.06,0.518,N,N
choose,ENSG00000143554,ENSG00000140284,SLC27A3,SLC27A2,0.198,-0.122,N,N
choose,ENSG00000162924,ENSG00000104856,REL,RELB,-0.002,-0.167,N,N
choose,ENSG00000116044,ENSG00000123405,NFE2L2,NFE2,-0.159,-0.237,N,N
choose,ENSG00000158769,ENSG00000154721,F11R,JAM2,-0.012,0.717,N,N
choose,ENSG00000113763,ENSG00000107731,UNC5A,UNC5B,0.038,0.124,N,N
choose,ENSG00000183856,ENSG00000140575,IQGAP3,IQGAP1,0.29,0.737,N,N
choose,ENSG00000072518,ENSG00000075413,MARK2,MARK3,-0.255,0.42,N,N
choose,ENSG00000137573,ENSG00000135677,SULF1,GNS,0.164,-0.049,N,N
choose,ENSG00000134686,ENSG00000173889,PHC2,PHC3,-0.412,0.05,N,N
choose,ENSG00000103260,ENSG00000176845,METRN,METRNL,0.121,-0.021,N,N
choose,ENSG00000121957,ENSG00000160360,GPSM2,GPSM1,0.105,-0.344,N,N
choose,ENSG00000104689,ENSG00000120889,TNFRSF10A,TNFRSF10B,-0.801,0.268,N,N
choose,ENSG00000157191,ENSG00000089818,NECAP2,NECAP1,0.078,0.28,N,N
choose,ENSG00000175928,ENSG00000173114,LRRN1,LRRN3,0.115,0.115,N,N
choose,ENSG00000140961,ENSG00000164823,OSGIN1,OSGIN2,-0.061,0.148,N,N
choose,ENSG00000107295,ENSG00000141985,SH3GL2,SH3GL1,-0.054,0.24,N,N
gi2,ENSG00000107968,ENSG00000100156,MAP3K8,SLC16A8,-0.15,-0.001,N,N
choose,ENSG00000135124,ENSG00000108405,P2RX4,P2RX1,-0.017,-0.1,N,N
choose,ENSG00000146247,ENSG00000185658,PHIP,BRWD1,0.348,0.403,N,N
choose,ENSG00000066084,ENSG00000160305,DIP2B,DIP2A,0.409,0.179,N,N
choose,ENSG00000175592,ENSG00000170345,FOSL1,FOS,0.042,0.318,N,N
choose,ENSG00000149930,ENSG00000160551,TAOK2,TAOK1,0.295,0.258,N,N
choose,ENSG00000143630,ENSG00000099822,HCN3,HCN2,-0.063,0.179,N,N
gi2,ENSG00000182866,ENSG00000076984,LCK,MAP2K7,-0.384,-0.166,N,N
choose,ENSG00000175215,ENSG00000144677,CTDSP2,CTDSPL,-0.32,-0.378,N,N
choose,ENSG00000119946,ENSG00000148842,CNNM1,CNNM2,0.086,-0.067,N,N
choose,ENSG00000168026,ENSG00000123607,TTC21A,TTC21B,0.082,0.263,N,N
gi2,ENSG00000131471,ENSG00000185633,AOC3,NDUFA4L2,0.165,-0.151,N,N
choose,ENSG00000109381,ENSG00000102034,ELF2,ELF4,-0.333,0.253,N,N
choose,ENSG00000164841,ENSG00000125895,TMEM74,TMEM74B,0.017,-0.052,N,N
choose,ENSG00000163113,ENSG00000118503,OTUD7B,TNFAIP3,0.016,-0.045,N,N
choose,ENSG00000174373,ENSG00000188559,RALGAPA1,RALGAPA2,-0.677,0.027,N,N
choose,ENSG00000168092,ENSG00000079462,PAFAH1B2,PAFAH1B3,0.099,0.302,N,N
choose,ENSG00000103653,ENSG00000007264,CSK,MATK,-0.079,-0.919,N,N
choose,ENSG00000198799,ENSG00000139263,LRIG2,LRIG3,-0.048,0.495,N,N
choose,ENSG00000158711,ENSG00000126767,ELK4,ELK1,0.323,-0.114,N,N
choose,ENSG00000115556,ENSG00000187091,PLCD4,PLCD1,-0.015,-0.144,N,N
choose,ENSG00000136636,ENSG00000160410,KCTD3,SHKBP1,-0.179,-0.076,N,N
choose,ENSG00000116266,ENSG00000136854,STXBP3,STXBP1,0.036,-0.013,N,N
choose,ENSG00000184672,ENSG00000125970,RALYL,RALY,-0.012,-0.187,N,N
gi2,ENSG00000131471,ENSG00000133056,AOC3,PIK3C2B,0.272,0.158,N,N
choose,ENSG00000112183,ENSG00000132819,RBM24,RBM38,-0.281,-0.117,N,N
choose,ENSG00000102078,ENSG00000174032,SLC25A14,SLC25A30,-0.172,0.238,N,N
choose,ENSG00000164180,ENSG00000064545,TMEM161B,TMEM161A,0.157,0.459,N,N
choose,ENSG00000065135,ENSG00000114353,GNAI3,GNAI2,-0.47,0.345,N,N
choose,ENSG00000137076,ENSG00000171914,TLN1,TLN2,-0.378,0.376,N,N
choose,ENSG00000119684,ENSG00000064933,MLH3,PMS1,0.008,0.177,N,N
choose,ENSG00000115317,ENSG00000170801,HTRA2,HTRA3,-0.127,0.106,N,N
choose,ENSG00000066629,ENSG00000125746,EML1,EML2,0.022,0.43,N,N
choose,ENSG00000113231,ENSG00000073417,PDE8B,PDE8A,-0.084,-0.051,N,N
choose,ENSG00000163349,ENSG00000110422,HIPK1,HIPK3,-0.09,-0.245,N,N
choose,ENSG00000144218,ENSG00000072364,AFF3,AFF4,0.068,0.08,N,N
choose,ENSG00000152818,ENSG00000198947,UTRN,DMD,-0.069,0.249,N,N
choose,ENSG00000180089,ENSG00000151117,TMEM86B,TMEM86A,0.081,0.193,N,N
choose,ENSG00000066923,ENSG00000101972,STAG3,STAG2,-1.176,0.058,N,N
choose,ENSG00000048140,ENSG00000168785,TSPAN17,TSPAN5,0.063,0.157,N,N
choose,ENSG00000138814,ENSG00000107758,PPP3CA,PPP3CB,0.181,0.275,N,N
choose,ENSG00000197969,ENSG00000129003,VPS13A,VPS13C,-0.079,0.026,N,N
choose,ENSG00000117569,ENSG00000011304,PTBP2,PTBP1,-0.593,0.544,N,N
choose,ENSG00000091127,ENSG00000129317,PUS7,PUS7L,-0.253,-0.04,N,N
choose,ENSG00000162599,ENSG00000141905,NFIA,NFIC,-0.157,0.401,N,N
choose,ENSG00000115325,ENSG00000146094,DOK1,DOK3,0.172,0.083,N,N
choose,ENSG00000135454,ENSG00000167080,B4GALNT1,B4GALNT2,0.04,0.675,N,N
choose,ENSG00000077044,ENSG00000102780,DGKD,DGKH,-0.024,0.365,N,N
choose,ENSG00000081189,ENSG00000068305,MEF2C,MEF2A,-0.107,0.204,N,N
gi2,ENSG00000182866,ENSG00000133056,LCK,PIK3C2B,-0.062,-0.227,N,N
choose,ENSG00000205309,ENSG00000125458,NT5M,NT5C,-0.208,0.071,N,N
choose,ENSG00000149926,ENSG00000167695,FAM57B,FAM57A,0.149,0.596,N,N
choose,ENSG00000178021,ENSG00000189241,TSPYL6,TSPYL1,-0.265,0.091,N,N
choose,ENSG00000110218,ENSG00000154143,PANX1,PANX3,-0.002,0.027,N,N
choose,ENSG00000115112,ENSG00000135457,TFCP2L1,TFCP2,0.092,0.401,N,N
choose,ENSG00000064763,ENSG00000197601,FAR2,FAR1,-0.211,-0.17,N,N
choose,ENSG00000151929,ENSG00000156735,BAG3,BAG4,-0.048,0.507,N,N
choose,ENSG00000143466,ENSG00000183735,IKBKE,TBK1,-0.01,0.496,N,N
choose,ENSG00000058063,ENSG00000068650,ATP11B,ATP11A,0.024,-0.208,N,N
choose,ENSG00000007968,ENSG00000101412,E2F2,E2F1,0.142,0.389,N,N
gi2,ENSG00000067606,ENSG00000167900,PRKCZ,TK1,-0.138,0.282,N,N
choose,ENSG00000126070,ENSG00000123908,AGO3,AGO2,0.003,0.442,N,N
choose,ENSG00000100596,ENSG00000172296,SPTLC2,SPTLC3,-0.595,-0.079,N,N
choose,ENSG00000121297,ENSG00000179981,TSHZ3,TSHZ1,-0.055,-0.116,N,N
choose,ENSG00000115041,ENSG00000120049,KCNIP3,KCNIP2,-0.403,-0.191,N,N
choose,ENSG00000065833,ENSG00000151376,ME1,ME3,-0.087,0.5,N,N
gi2,ENSG00000182866,ENSG00000188130,LCK,MAPK12,0.057,0.01,N,N
choose,ENSG00000131844,ENSG00000114054,MCCC2,PCCB,0.039,0.399,N,N
choose,ENSG00000168672,ENSG00000162981,FAM84B,FAM84A,-0.054,-0.484,N,N
choose,ENSG00000107105,ENSG00000066044,ELAVL2,ELAVL1,0.159,-0.213,N,N
gi2,ENSG00000171631,ENSG00000170190,P2RY6,SLC16A5,-0.045,-0.133,N,N
choose,ENSG00000112031,ENSG00000120662,MTRF1L,MTRF1,0.113,-0.03,N,N
choose,ENSG00000143552,ENSG00000132182,NUP210L,NUP210,-0.312,0.004,N,N
choose,ENSG00000196935,ENSG00000089820,SRGAP1,ARHGAP4,0.123,0.364,N,N
choose,ENSG00000137393,ENSG00000151692,RNF144B,RNF144A,0.019,0.121,N,N
choose,ENSG00000134873,ENSG00000181885,CLDN10,CLDN7,-0.263,0.087,N,N
choose,ENSG00000187257,ENSG00000081019,RSBN1L,RSBN1,0.003,0.236,N,N
choose,ENSG00000134107,ENSG00000123095,BHLHE40,BHLHE41,0.042,0.028,N,N
choose,ENSG00000183856,ENSG00000145703,IQGAP3,IQGAP2,-0.071,0.489,N,N
choose,ENSG00000143942,ENSG00000128965,CHAC2,CHAC1,0.164,-0.035,N,N
choose,ENSG00000072736,ENSG00000101096,NFATC3,NFATC2,0.005,-0.001,N,N
choose,ENSG00000109466,ENSG00000146021,KLHL2,KLHL3,-0.129,-0.042,N,N
choose,ENSG00000153395,ENSG00000087253,LPCAT1,LPCAT2,0.091,-0.132,N,N
choose,ENSG00000117000,ENSG00000188994,RLF,ZNF292,0.102,0.655,N,N
choose,ENSG00000123213,ENSG00000172009,NLN,THOP1,0.151,-0.039,N,N
choose,ENSG00000144233,ENSG00000101935,AMMECR1L,AMMECR1,-0.123,-0.315,N,N
choose,ENSG00000073792,ENSG00000136231,IGF2BP2,IGF2BP3,-0.267,0.19,N,N
choose,ENSG00000174839,ENSG00000205593,DENND6A,DENND6B,0.088,-0.165,N,N
choose,ENSG00000101336,ENSG00000254087,HCK,LYN,-0.046,0.248,N,N
choose,ENSG00000143028,ENSG00000102003,SYPL2,SYP,-0.127,0.667,N,N
choose,ENSG00000204634,ENSG00000133138,TBC1D8,TBC1D8B,0.016,0.288,N,N
choose,ENSG00000126821,ENSG00000163082,SGPP1,SGPP2,-0.104,0.025,N,N
choose,ENSG00000158050,ENSG00000120129,DUSP2,DUSP1,-0.118,0.037,N,N
choose,ENSG00000169783,ENSG00000174482,LINGO1,LINGO2,-0.077,-0.102,N,N
choose,ENSG00000058063,ENSG00000101974,ATP11B,ATP11C,-0.096,-0.135,N,N
choose,ENSG00000184588,ENSG00000065989,PDE4B,PDE4A,-0.047,0.596,N,N
choose,ENSG00000055208,ENSG00000157625,TAB2,TAB3,-0.124,0.154,N,N
choose,ENSG00000100503,ENSG00000101004,NIN,NINL,0.23,0.168,N,N
choose,ENSG00000171316,ENSG00000124177,CHD7,CHD6,0.119,-0.103,N,N
choose,ENSG00000163219,ENSG00000138639,ARHGAP25,ARHGAP24,-0.068,0.484,N,N
choose,ENSG00000146463,ENSG00000121741,ZMYM4,ZMYM2,-0.226,0.031,N,N
choose,ENSG00000172932,ENSG00000076513,ANKRD13D,ANKRD13A,0.004,0.163,N,N
choose,ENSG00000167968,ENSG00000213918,DNASE1L2,DNASE1,-0.091,0.629,N,N
choose,ENSG00000007384,ENSG00000129667,RHBDF1,RHBDF2,0.004,0.251,N,N
choose,ENSG00000123124,ENSG00000198373,WWP1,WWP2,-0.234,0.027,N,N
gi2,ENSG00000171552,ENSG00000104885,BCL2L1,DOT1L,-2.494,0.217,N,N
choose,ENSG00000173889,ENSG00000111752,PHC3,PHC1,-0.442,0.023,N,N
choose,ENSG00000175984,ENSG00000166444,DENND2C,ST5,0.161,0.036,N,N
choose,ENSG00000133065,ENSG00000136052,SLC41A1,SLC41A2,0.39,-0.262,N,N
choose,ENSG00000131389,ENSG00000010379,SLC6A6,SLC6A13,-0.129,0.021,N,N
choose,ENSG00000104388,ENSG00000129472,RAB2A,RAB2B,-0.311,0.1,N,N
choose,ENSG00000119699,ENSG00000105329,TGFB3,TGFB1,-0.116,0.011,N,N
choose,ENSG00000162599,ENSG00000008441,NFIA,NFIX,-0.214,0.005,N,N
choose,ENSG00000095383,ENSG00000167202,TBC1D2,TBC1D2B,-0.006,0.238,N,N
choose,ENSG00000149798,ENSG00000163171,CDC42EP2,CDC42EP3,0.064,0.102,N,N
choose,ENSG00000007255,ENSG00000182400,TRAPPC6A,TRAPPC6B,0.097,0.027,N,N
choose,ENSG00000182256,ENSG00000113327,GABRG3,GABRG2,0.076,0.201,N,N
choose,ENSG00000100888,ENSG00000124177,CHD8,CHD6,-0.224,-0.185,N,N
choose,ENSG00000107164,ENSG00000088247,FUBP3,KHSRP,-0.176,0.006,N,N
choose,ENSG00000143924,ENSG00000066629,EML4,EML1,-0.221,0.089,N,N
choose,ENSG00000151148,ENSG00000009335,UBE3B,UBE3C,-0.07,0.33,N,N
choose,ENSG00000142082,ENSG00000068903,SIRT3,SIRT2,0.123,-0.036,N,N
choose,ENSG00000135547,ENSG00000164683,HEY2,HEY1,-0.011,-0.141,N,N
choose,ENSG00000142611,ENSG00000085276,PRDM16,MECOM,-0.104,0.645,N,N
choose,ENSG00000144674,ENSG00000173230,GOLGA4,GOLGB1,-0.175,0.509,N,N
choose,ENSG00000116209,ENSG00000105696,TMEM59,TMEM59L,0.23,0.259,N,N
gi2,ENSG00000173020,ENSG00000148218,ADRBK1,ALAD,0.226,0.827,N,N
choose,ENSG00000104219,ENSG00000102383,ZDHHC2,ZDHHC15,0.015,-0.168,N,N
choose,ENSG00000167191,ENSG00000170412,GPRC5B,GPRC5C,0.05,0.216,N,N
choose,ENSG00000115289,ENSG00000185619,PCGF1,PCGF3,-0.169,-0.004,N,N
choose,ENSG00000077522,ENSG00000130402,ACTN2,ACTN4,-0.011,0.159,N,N
choose,ENSG00000137802,ENSG00000075702,MAPKBP1,WDR62,0.252,0.404,N,N
choose,ENSG00000003987,ENSG00000102043,MTMR7,MTMR8,-0.158,0.287,N,N
choose,ENSG00000158773,ENSG00000105698,USF1,USF2,-0.387,-1.083,N,N
choose,ENSG00000162650,ENSG00000163635,ATXN7L2,ATXN7,0.259,0.031,N,N
gi1,ENSG00000012048,ENSG00000143799,BRCA1,PARP1,-0.49,-0.993,N,N
gi2,ENSG00000182866,ENSG00000107968,LCK,MAP3K8,-0.062,-0.082,N,N
choose,ENSG00000111348,ENSG00000141522,ARHGDIB,ARHGDIA,0.031,-0.063,N,N
choose,ENSG00000081277,ENSG00000184363,PKP1,PKP3,-0.085,-0.059,N,N
choose,ENSG00000106404,ENSG00000189143,CLDN15,CLDN4,0.45,0.028,N,N
choose,ENSG00000116005,ENSG00000145882,PCYOX1,PCYOX1L,0.099,0.362,N,N
choose,ENSG00000065060,ENSG00000111647,UHRF1BP1,UHRF1BP1L,-0.014,0.163,N,N
choose,ENSG00000215897,ENSG00000130584,ZBTB8B,ZBTB46,0.136,0.001,N,N
choose,ENSG00000146856,ENSG00000165923,AGBL3,AGBL2,-0.06,0.294,N,N
choose,ENSG00000115762,ENSG00000021300,PLEKHB2,PLEKHB1,-0.237,0.464,N,N
choose,ENSG00000116016,ENSG00000124440,EPAS1,HIF3A,0.13,0.167,N,N
choose,ENSG00000138678,ENSG00000158669,AGPAT9,AGPAT6,-0.173,-0.493,N,N
choose,ENSG00000135083,ENSG00000107443,CCNJL,CCNJ,0.008,0.143,N,N
choose,ENSG00000116396,ENSG00000129159,KCNC4,KCNC1,0.118,0.215,N,N
choose,ENSG00000113263,ENSG00000010671,ITK,BTK,-0.285,-0.242,N,N
choose,ENSG00000083444,ENSG00000106397,PLOD1,PLOD3,-0.083,-0.083,N,N
choose,ENSG00000105717,ENSG00000185630,PBX4,PBX1,-0.053,0.528,N,N
choose,ENSG00000088387,ENSG00000147251,DOCK9,DOCK11,0.289,0.016,N,N
choose,ENSG00000186001,ENSG00000130224,LRCH3,LRCH2,-0.074,0.037,N,N
choose,ENSG00000160808,ENSG00000196465,MYL3,MYL6B,-0.098,0.026,N,N
choose,ENSG00000164663,ENSG00000136014,USP49,USP44,0.148,0.5,N,N
choose,ENSG00000054965,ENSG00000152102,FAM168A,FAM168B,0.129,0.038,N,N
choose,ENSG00000179387,ENSG00000110675,ELMOD2,ELMOD1,0.157,-0.127,N,N
choose,ENSG00000140396,ENSG00000124151,NCOA2,NCOA3,-0.237,-0.309,N,N
choose,ENSG00000170759,ENSG00000155980,KIF5B,KIF5A,-0.011,0.066,N,N
choose,ENSG00000115365,ENSG00000132434,LANCL1,LANCL2,0.01,0.419,N,N
choose,ENSG00000113761,ENSG00000165061,ZNF346,ZMAT4,-0.086,0.034,N,N
choose,ENSG00000144045,ENSG00000089876,DQX1,DHX32,0.046,-0.074,N,N
choose,ENSG00000119314,ENSG00000011304,PTBP3,PTBP1,-0.995,0.249,N,N
gi2,ENSG00000253729,ENSG00000100300,PRKDC,TSPO,-0.393,-0.575,N,N
choose,ENSG00000137942,ENSG00000125733,FNBP1L,TRIP10,-0.087,0.104,N,N
choose,ENSG00000180138,ENSG00000113712,CSNK1A1L,CSNK1A1,0.012,-0.473,N,N
gi2,ENSG00000135409,ENSG00000182866,AMHR2,LCK,-0.165,0.091,N,N
gi2,ENSG00000135409,ENSG00000067606,AMHR2,PRKCZ,-0.178,0.771,N,N
choose,ENSG00000114316,ENSG00000102226,USP4,USP11,-0.096,0.244,N,N
choose,ENSG00000147862,ENSG00000008441,NFIB,NFIX,-0.062,-0.001,N,N
choose,ENSG00000143702,ENSG00000099814,CEP170,CEP170B,0.098,0.081,N,N
choose,ENSG00000084652,ENSG00000086712,TXLNA,TXLNG,-0.309,0.122,N,N
choose,ENSG00000122642,ENSG00000141756,FKBP9,FKBP10,-0.016,0.222,N,N
choose,ENSG00000184787,ENSG00000132388,UBE2G2,UBE2G1,0.415,0.451,N,N
choose,ENSG00000172037,ENSG00000091136,LAMB2,LAMB1,0.096,-0.146,N,N
choose,ENSG00000197283,ENSG00000136848,SYNGAP1,DAB2IP,-0.046,-0.201,N,N
gi2,ENSG00000182866,ENSG00000007171,LCK,NOS2,0.165,-0.194,N,N
choose,ENSG00000083097,ENSG00000142197,DOPEY1,DOPEY2,-0.207,-0.018,N,N
choose,ENSG00000048028,ENSG00000155313,USP28,USP25,-0.088,-0.1,N,N
choose,ENSG00000196781,ENSG00000065717,TLE1,TLE2,-0.04,-0.039,N,N
gi1,ENSG00000253729,ENSG00000149311,PRKDC,ATM,-0.467,-0.51,N,N
choose,ENSG00000067208,ENSG00000142459,EVI5,EVI5L,-0.207,0.387,N,N
choose,ENSG00000117069,ENSG00000160408,ST6GALNAC5,ST6GALNAC6,0.007,0.074,N,N
choose,ENSG00000170967,ENSG00000197312,DDI1,DDI2,-0.743,0.641,N,N
choose,ENSG00000146247,ENSG00000165288,PHIP,BRWD3,-0.06,-0.028,N,N
choose,ENSG00000112511,ENSG00000119403,PHF1,PHF19,-0.194,0.098,N,N
choose,ENSG00000187244,ENSG00000076706,BCAM,MCAM,-0.116,0.25,N,N
choose,ENSG00000084676,ENSG00000124151,NCOA1,NCOA3,0.025,-0.369,N,N
