gene1,gene2,type,similarity.BMA,similarity.rcmax
CHD2,CHD1,Conditional,0.387,0.562
COPG2,COPG1,Conditional,0.719,0.75
EEF1A2,EEF1A1,Conditional,0.519,0.734
KAT2B,KAT2A,Conditional,0.66,0.663
KATNAL1,KATNA1,Conditional,0.698,0.714
NCK2,NCK1,Conditional,0.638,0.706
OAZ2,OAZ1,Conditional,0.741,0.75
PAXBP1,GCFC2,Conditional,0.407,0.601
PPA2,PPA1,Conditional,0.654,0.667
PPP2R1B,PPP2R1A,Conditional,0.545,0.645
PSMB9,PSMB6,Conditional,0.741,0.744
PYCR2,PYCR1,Conditional,0.718,0.75
RABL2B,RABL2A,Conditional,0.495,0.75
RHPN2,RHPN1,Conditional,0.5,0.75
RRM2B,RRM2,Conditional,0.699,0.704
SEC11C,SEC11A,Conditional,0.75,0.75
SOS2,SOS1,Conditional,0.635,0.75
SPOPL,SPOP,Conditional,0.714,0.736
TMED7,TMED3,Conditional,0.743,0.75
TNKS2,TNKS,Conditional,0.69,0.725
TOP1MT,TOP1,Conditional,0.469,0.643
TOP2B,TOP2A,Conditional,0.655,0.722
XPO7,RANBP17,Conditional,0.607,0.75
ZNF76,ZNF143,Conditional,0.677,0.694
ARG2,ARG1,Conditional,0.618,0.661
MLLT3,MLLT1,Conditional,0.597,0.719
RPRD1B,RPRD1A,Conditional,0.706,0.75
TRAPPC6B,TRAPPC6A,Conditional,0.738,0.75
TRIB2,TRIB1,Conditional,0.609,0.718
USP49,USP44,Conditional,0.687,0.703
ARID4B,ARID4A,Conditional,0.605,0.669
CCNI2,CCNI,Conditional,0.712,0.75
CDK13,CDK12,Conditional,0.673,0.733
DAGLB,DAGLA,Conditional,0.659,0.673
DCP1B,DCP1A,Conditional,0.687,0.727
ELL2,ELL,Conditional,0.653,0.75
EXOC3L1,EXOC3,Conditional,0.607,0.667
KMT2B,KMT2A,Conditional,0.698,0.75
LIMK2,LIMK1,Conditional,0.649,0.669
PEX5L,PEX5,Conditional,0.601,0.714
SCO2,SCO1,Conditional,0.703,0.75
STXBP6,EXOC1,Conditional,0.613,0.662
TAF5L,TAF5,Conditional,0.63,0.659
TASP1,ASRGL1,Conditional,0.452,0.522
USP38,USP35,Conditional,0.717,0.75
USP42,USP36,Conditional,0.61,0.705
ADCY6,ADCY5,Conditional,0.703,0.711
ATP6V0E2,ATP6V0E1,Conditional,0.724,0.75
BMP8B,BMP8A,Conditional,0.636,0.686
CDH9,CDH6,Conditional,0.687,0.712
CDK11B,CDK11A,Conditional,0.685,0.75
CHCHD2,CHCHD10,Conditional,0.568,0.6
CLCN2,CLCN1,Conditional,0.672,0.72
CUL4B,CUL4A,Conditional,0.708,0.719
DNAH17,DNAH11,Conditional,0.654,0.691
ELK4,ELK1,Conditional,0.692,0.707
GNB2,GNB1,Conditional,0.692,0.702
HNRNPLL,HNRNPL,Conditional,0.618,0.744
HOMER3,HOMER1,Conditional,0.625,0.631
KLKB1,F11,Conditional,0.721,0.741
LMTK2,AATK,Conditional,0.447,0.553
ORAI3,ORAI1,Conditional,0.495,0.75
PLAGL2,PLAG1,Conditional,0.602,0.609
PLCL2,PLCL1,Conditional,0.451,0.486
POM121C,POM121,Conditional,0.721,0.75
PRELID3B,PRELID3A,Conditional,0.639,0.75
RBBP7,RBBP4,Conditional,0.664,0.712
SEC24D,SEC24C,Conditional,0.743,0.75
SYNCRIP,HNRNPR,Conditional,0.648,0.709
TCF7L2,TCF7,Conditional,0.584,0.692
TRIM16L,TRIM16,Conditional,0.303,0.75
TRIM63,TRIM54,Conditional,0.675,0.75
USP6,USP32,Conditional,0.589,0.643
UTY,KDM6B,Conditional,0.697,0.75
GOLPH3L,GOLPH3,Others,0.668,0.688
SBF2,SBF1,Others,0.603,0.667
ABL2,ABL1,Others,0.637,0.72
ARFIP2,ARFIP1,Others,0.567,0.701
BICD2,BICD1,Others,0.615,0.657
EZH2,EZH1,Others,0.472,0.699
GIT2,GIT1,Others,0.637,0.688
IKBKB,CHUK,Others,0.716,0.722
ITSN2,ITSN1,Others,0.62,0.676
LATS2,LATS1,Others,0.696,0.718
NBEA,LRBA,Others,0.645,0.75
NET1,ARHGEF3,Others,0.655,0.741
NUMBL,NUMB,Others,0.494,0.611
PACS2,PACS1,Others,0.555,0.609
PSEN2,PSEN1,Others,0.637,0.732
RANBP9,RANBP10,Others,0.659,0.75
RIC8B,RIC8A,Others,0.643,0.679
RNF2,RING1,Others,0.696,0.725
SEC23IP,DDHD2,Others,0.598,0.658
SIKE1,FGFR1OP2,Others,0.571,0.625
SMARCC2,SMARCC1,Others,0.728,0.746
SPAG9,MAPK8IP3,Others,0.583,0.75
SS18L1,SS18,Others,0.636,0.667
TNPO2,TNPO1,Others,0.585,0.75
TOB2,TOB1,Others,0.637,0.645
ULK2,ULK1,Others,0.556,0.75
UNC119B,UNC119,Others,0.603,0.651
YIPF2,YIPF1,Others,0.717,0.75
ZMIZ2,ZMIZ1,Others,0.629,0.675
ADIPOR2,ADIPOR1,Others,0.656,0.75
ARHGAP5,ARHGAP35,Others,0.525,0.6
CRY2,CRY1,Others,0.675,0.714
DDI2,DDI1,Others,0.542,0.75
DEGS2,DEGS1,Others,0.56,0.66
ENTPD7,ENTPD4,Others,0.691,0.693
ERC2,ERC1,Others,0.585,0.714
EVI5L,EVI5,Others,0.698,0.72
GXYLT2,GXYLT1,Others,0.75,0.75
GYS2,GYS1,Others,0.674,0.733
LIN28B,LIN28A,Others,0.624,0.669
NR2C2,NR2C1,Others,0.695,0.703
PAFAH1B3,PAFAH1B2,Others,0.623,0.652
PRPSAP2,PRPSAP1,Others,0.75,0.75
RBPMS2,RBPMS,Others,0.56,0.618
RCBTB2,RCBTB1,Others,0,0
RHBDF2,RHBDF1,Others,0.62,0.7
RHOT2,RHOT1,Others,0.714,0.734
RNF44,RNF38,Others,0.292,0.75
SAP30L,SAP30,Others,0.652,0.722
SLC41A2,SLC41A1,Others,0.361,0.75
SMURF2,SMURF1,Others,0.655,0.693
SPRED2,SPRED1,Others,0.634,0.75
SPTAN1,SPTA1,Others,0.584,0.639
SPTLC3,SPTLC2,Others,0.714,0.729
TANC2,TANC1,Others,0,0
THOP1,NLN,Others,0.669,0.708
TLN2,TLN1,Others,0.628,0.75
TMEM39B,TMEM39A,Others,0.275,0.75
ATAD2B,ATAD2,Others,0.668,0.722
DUSP8,DUSP16,Others,0.606,0.75
FLOT2,FLOT1,Others,0.653,0.686
HMG20B,HMG20A,Others,0.548,0.688
KAT6B,KAT6A,Others,0.689,0.75
LSM14B,LSM14A,Others,0.275,0.75
PHLPP2,PHLPP1,Others,0.678,0.688
RC3H2,RC3H1,Others,0.687,0.69
SMAP2,SMAP1,Others,0.5,0.5
SOCS5,SOCS4,Others,0.609,0.75
SUCLG2,SUCLA2,Others,0.693,0.725
TRAK2,TRAK1,Others,0.688,0.75
UBAP2L,UBAP2,Others,0.483,0.7
UBE2V2,UBE2V1,Others,0.669,0.724
ABHD5,ABHD4,Others,0.553,0.602
ACVR2B,ACVR2A,Others,0.708,0.711
ADAP2,ADAP1,Others,0.62,0.661
AK4,AK3,Others,0.655,0.708
ALG10B,ALG10,Others,0.607,0.75
ANKRD13D,ANKRD13A,Others,0.722,0.75
AP3M2,AP3M1,Others,0.559,0.7
AP3S2,AP3S1,Others,0.565,0.75
APH1B,APH1A,Others,0.726,0.734
ARHGEF7,ARHGEF6,Others,0.517,0.75
ASAP2,ASAP1,Others,0.375,0.75
ATF7,ATF2,Others,0.564,0.673
ATP6V1B2,ATP6V1B1,Others,0.564,0.659
B4GALT2,B4GALT1,Others,0.565,0.694
BAG4,BAG3,Others,0.679,0.694
BCL11B,BCL11A,Others,0.601,0.663
BTBD11,ABTB2,Others,0,0
BTBD2,BTBD1,Others,0.634,0.75
BTN2A2,BTN2A1,Others,0.647,0.667
BZW2,BZW1,Others,0.675,0.7
CADPS2,CADPS,Others,0.525,0.55
CAMKK2,CAMKK1,Others,0.503,0.537
CAND2,CAND1,Others,0.54,0.75
CAP2,CAP1,Others,0.641,0.659
CCNYL1,CCNY,Others,0.591,0.75
CDC42BPB,CDC42BPA,Others,0.666,0.688
CDH3,CDH1,Others,0.575,0.627
CERKL,CERK,Others,0.553,0.65
CHSY3,CHSY1,Others,0.594,0.75
CLTB,CLTA,Others,0.652,0.731
CLTCL1,CLTC,Others,0.629,0.672
CNNM4,CNNM2,Others,0.654,0.667
COPZ2,COPZ1,Others,0.75,0.75
CREB1,ATF1,Others,0.69,0.721
CREM,ATF1,Others,0.651,0.659
CTPS2,CTPS1,Others,0.646,0.743
CUX2,CUX1,Others,0.65,0.673
CYFIP2,CYFIP1,Others,0.569,0.636
DGKZ,DGKI,Others,0.683,0.703
DIAPH3,DIAPH1,Others,0.276,0.625
DNAJB14,DNAJB12,Others,0.728,0.75
DPP9,DPP8,Others,0.531,0.55
DUOX2,DUOX1,Others,0.701,0.738
DYNLRB2,DYNLRB1,Others,0.684,0.75
DYRK3,DYRK2,Others,0.637,0.643
EFR3B,EFR3A,Others,0.643,0.667
ENOX2,ENOX1,Others,0.375,0.375
ENSA,ARPP19,Others,0.631,0.654
ERLIN2,ERLIN1,Others,0.711,0.75
ERO1B,ERO1A,Others,0.657,0.722
ESRP2,ESRP1,Others,0.71,0.729
EXOC6B,EXOC6,Others,0.667,0.75
FAHD2B,FAHD2A,Others,0.583,0.75
FAM76B,FAM76A,Others,0.333,0.5
FEZ2,FEZ1,Others,0.692,0.724
FEZF2,FEZF1,Others,0.339,0.553
FHOD3,FHOD1,Others,0.532,0.686
FIGNL1,FIGN,Others,0.61,0.75
FN3KRP,FN3K,Others,0.589,0.75
FOXN3,FOXN2,Others,0.665,0.675
FRS3,FRS2,Others,0.633,0.711
FRYL,FRY,Others,0.667,0.75
GFOD2,GFOD1,Others,0,0
GLB1L,GLB1,Others,0.318,0.75
GNA13,GNA12,Others,0.664,0.699
GNPDA2,GNPDA1,Others,0.685,0.727
GOLT1B,GOLT1A,Others,0.582,0.611
GPR108,GPR107,Others,0.595,0.625
GRIP2,GRIP1,Others,0.455,0.75
GRK3,GRK2,Others,0.574,0.716
HEATR5B,HEATR5A,Others,0.625,0.75
HEXB,HEXA,Others,0.691,0.693
HIPK3,HIPK1,Others,0.632,0.66
HMGCLL1,HMGCL,Others,0.653,0.683
HMGCS2,HMGCS1,Others,0.606,0.628
IDH2,IDH1,Others,0.593,0.711
IFRD2,IFRD1,Others,0.167,0.167
IPO8,IPO7,Others,0.646,0.729
IQGAP3,IQGAP1,Others,0.474,0.722
JUP,CTNNB1,Others,0.635,0.666
KBTBD7,KBTBD6,Others,0.735,0.75
KCNT2,KCNT1,Others,0.614,0.75
