,gene1,gene2,hap1.negative.gi,rpe1.negative.gi,hap1_early_effect_size,hap1_late_effect_size,rpe1_early_effect_size,rpe1_late_effect_size,hap1_gi_type,rpe1_gi_type
613,RPS27,RPS27L,none,none,0.121238936,0.190826301,-0.86951734,-1.003500706,none,none
614,EGR2,EGR3,none,none,0.122791793,0.390623927,-0.772789011,-0.407602587,none,none
615,EME1,EME2,none,none,0.12780622,-0.033029939,-0.352857963,0.028010691,none,none
616,ATAD2,ATAD2B,none,none,0.131744512,-0.134410381,-0.651932012,-0.19055977,none,none
617,PPRC1,PPARGC1A,none,none,0.132387072,0.196463988,-0.641286076,-0.674338091,none,none
618,TOP2A,TOP2B,none,none,0.136931607,0.51952132,0.197874482,0.624349205,none,none
619,UNC5B,UNC5C,none,none,0.14095975,0.092566413,-0.34766272,-0.219585151,none,none
620,USP16,USP45,none,Negative,0.147861162,0.064110473,-1.793860564,-1.24519026,none,shared
621,ABHD12,ABHD12B,none,none,0.154857583,-0.093047391,0.184155748,0.344651764,none,none
622,CHMP4A,CHMP4C,none,none,0.158512109,-0.420944156,0.161238919,0.550766286,none,none
623,NT5C2,NT5DC4,none,none,0.159244511,0.191133591,-0.333426932,-0.185666112,none,none
624,SPATA6,SPATA6L,none,none,0.165383639,0.272972808,-0.580127653,-0.367664874,none,none
625,MICALL1,MICALL2,none,none,0.177392114,0.205500946,-0.24748847,-0.501982525,none,none
626,FMN2,FMN1,none,none,0.182085379,0.266578725,0.425900486,0.878087396,none,none
627,THRA,THRB,none,none,0.185697877,0.455674679,-0.712175249,-0.52147228,none,none
628,WWC2,WWC1,none,none,0.187586271,-0.141227345,-0.610115123,-0.268473693,none,none
629,PHACTR4,PHACTR2,none,none,0.191967,0.174446606,-0.718318648,-0.688312748,none,none
630,AUH,ECHDC2,none,none,0.194717267,0.172503995,-0.442202902,-0.155494568,none,none
631,LMBR1,LMBR1L,none,none,0.19870189,0.275424414,-0.726129738,-0.428990094,none,none
632,RNF126,RNF115,none,none,0.210732154,0.106216233,0.520353168,0.532099947,none,none
633,ATG16L1,ATG16L2,none,none,0.212451747,0.051105297,0.426999742,0.865862072,none,none
634,SERP1,SERP2,none,none,0.21403246,0.532486001,0.194281847,0.562905543,none,none
635,NFKBID,NFKBIZ,none,none,0.219631643,0.369443253,-0.768283803,-0.361993049,none,none
636,MTX1,MTX3,none,none,0.222227413,-0.137049969,0.391352699,0.752343811,none,none
637,CDC34,UBE2R2,none,none,0.22333387,-0.093391667,-0.673067383,-0.162758964,none,none
638,GREB1L,GREB1,none,Negative,0.225682675,-0.182907867,-1.178760661,-0.718873732,none,unique_early
639,CBFB,RUNX1,none,none,0.228564847,-0.042893149,-0.566391843,-0.623527741,none,none
640,PPP1R3B,PPP1R3C,none,none,0.231447399,-0.110772794,0.002264865,0.195188111,none,none
641,COPZ1,COPZ2,none,Negative,0.235788021,0.558258508,-1.343119558,-1.2571073,none,unique_late
642,TNK2,TNK1,none,none,0.24234145,0.150377611,-0.349187672,-0.443202713,none,none
643,ARHGAP33,ARHGAP31,none,Negative,0.246465533,0.425974506,-1.12944286,-1.276808449,none,shared
644,RAVER1,RAVER2,none,Negative,0.246804152,0.532599076,-0.968335534,-0.985114703,none,unique_early
645,ELOVL1,ELOVL7,none,none,0.261420364,0.438343597,-0.394922292,-0.367060856,none,none
646,ATP9A,ATP9B,none,none,0.261480307,0.113989608,0.074135764,0.35042559,none,none
647,HSF1,HSF4,none,none,0.26634421,0.763523612,-0.236573826,-0.217259562,none,none
648,OGDH,OGDHL,none,none,0.266585664,0.269196166,-0.590767941,-0.390014636,none,none
649,DMWD,WDR20,none,none,0.279163107,0.592826257,0.087172998,0.298778706,none,none
650,TET2,TET1,none,Positive,0.279207162,0.497696912,1.28820656,1.992848758,none,shared
651,CCNY,CCNYL1,none,Positive,0.280355368,0.419552311,0.993458239,0.99984286,none,unique_early
652,MMEL1,MLLT3,none,Positive,0.289165573,0.585028254,0.47930078,1.208865801,none,unique_late
653,EN2,EN1,none,none,0.300110311,0.569528989,-0.407823665,-0.402655441,none,none
654,R3HCC1,R3HCC1L,none,none,0.302993842,-0.011928661,-0.631776407,-0.553053606,none,none
655,SRRM1,SRRM2,none,none,0.311311048,-0.382551616,-0.320375567,0.171628496,none,none
656,CDK2,CDK3,none,none,0.316293107,0.685168729,-0.132887434,0.127610468,none,none
657,CHPF,CHPF2,none,none,0.320725992,0.237470445,0.942757632,0.938353719,none,none
658,ITCH,WWP2,none,none,0.329523187,-0.092615507,-0.332920885,-0.221700579,none,none
659,CDK2,CCNE1,none,none,0.339098293,0.513307355,-0.07145643,-0.060383648,none,none
660,EBF3,EBF1,none,none,0.339543839,0.442530988,-1.352732707,-1.313721552,none,none
661,VASH1,VASH2,none,none,0.377497767,-0.21194425,-0.094669932,0.142669839,none,none
662,UBA1,UBA7,none,none,0.405778242,0.521363124,0.242641337,0.536306897,none,none
663,PTK2,PTK2B,none,none,0.412818089,0.617947107,0.770196393,0.776401901,none,none
664,PLCD3,PLCD4,none,Negative,0.426089901,0.761347085,-1.684590571,-1.261066203,none,unique_early
665,PPA1,PPA2,none,none,0.435780965,0.863587847,-0.088361203,0.071035814,none,none
666,EEF1A1,EEF1A2,none,none,0.443377006,0.779668109,0.387540455,0.689203319,none,none
667,ANXA5,ANXA6,none,none,0.454476225,0.202177988,-0.506360154,-0.508699208,none,none
668,SLC29A1,SLC29A2,none,none,0.458018868,0.820627234,0.052217912,0.00406507,none,none
669,LARP1,LARP1B,none,none,0.473597099,0.983581186,0.720278303,0.559977062,none,none
670,NID1,NID2,none,none,0.495946519,0.579499971,-0.177590537,-0.153887745,none,none
671,MGRN1,RNF157,none,none,0.501339156,0.753974316,-0.635944947,-0.881452858,none,none
672,RBBP7,RBBP4,none,none,0.505354462,1.181696789,-0.889571303,0.292515545,none,none
673,TMC7,TMC8,none,none,0.51148905,0.143966412,-0.51128746,-0.121188115,none,none
674,LRBA,NBEA,none,none,0.531275565,0.208450684,-0.134328944,0.120127499,none,none
675,SAMD10,SAMD12,none,none,0.543106148,1.271564424,0.230848227,-0.129143558,none,none
676,EIF4E,EIF4E2,none,none,0.56580806,0.217600666,0.82801874,0.876414803,none,none
677,TMEM184B,TMEM184A,none,none,0.637877092,0.578225257,0.644822805,0.683554602,none,none
678,ATP8A1,ATP8A2,Positive,none,0.64606948,1.153251415,0.267054694,0.428282679,unique_late,none
679,LHX6,LHX8,none,none,0.649882761,0.977169357,0.063168608,0.29063677,none,none
680,PRKAR2A,PRKAR2B,none,none,0.720968044,0.176698545,1.303918134,1.012459203,none,none
681,TARS,TARSL2,none,none,0.736534148,0.435375542,0.818401958,1.145048597,none,none
682,RABEP1,RABEP2,Positive,none,0.758736447,1.692518226,-0.091237189,0.009216484,unique_late,none
683,SRSF11,SREK1,none,Positive,0.847739339,0.64679757,1.361713701,1.774024149,none,unique_late
684,NKX2-1,NKX2-4,none,none,0.908929842,0.924037284,0.928388561,0.985134366,none,none
685,CCDC102A,CCDC102B,Positive,none,0.910440847,1.143491804,-0.162500476,-0.281410769,shared,none
686,RABGAP1,RABGAP1L,Positive,none,0.910937598,1.849063962,1.16564986,1.266505338,unique_late,none
687,EIF4A1,EIF4A2,none,Positive,0.958893028,1.242188143,0.862581797,1.536507469,none,unique_early
688,BCL2L1,MCL1,Positive,Negative,1.870040062,2.903193798,-1.158073943,-0.917114967,unique_late,unique_early
