,gene1,gene2,hap1.negative.gi,rpe1.negative.gi,hap1_early_effect_size,hap1_late_effect_size,rpe1_early_effect_size,rpe1_late_effect_size,hap1_gi_type,rpe1_gi_type
402,POGZ,ZNF280D,none,none,-0.424963082,-0.372503642,-0.268138808,0.037612389,none,none
403,SMAD6,SMAD7,none,Negative,-0.422905789,-0.123515563,-1.222599033,-0.653538504,none,unique_early
404,NPAS2,CLOCK,none,none,-0.42154402,-0.459296828,-0.24835159,-0.159521874,none,none
405,DACH1,DACH2,none,none,-0.420185925,-0.336275428,0.21190056,0.213801315,none,none
406,FSCN1,FSCN2,none,none,-0.419181973,-0.454285822,0.605974789,0.520965728,none,none
407,CHSY1,CHSY3,none,none,-0.418075443,-0.12855767,0.280934766,0.466039949,none,none
408,PRKCE,PRKCH,none,none,-0.410002606,-0.344069214,0.429634239,0.689160884,none,none
409,FUNDC2,FUNDC1,none,Negative,-0.406860527,-0.468798385,-0.870517478,-0.563406324,none,unique_early
410,SMURF2,SMURF1,none,none,-0.405457467,-0.287883452,0.112377295,-0.005176947,none,none
411,SCD,SCD5,none,none,-0.403189591,-0.374547795,-1.230117005,-0.76704022,none,none
412,HNRNPR,SYNCRIP,none,none,-0.400806332,-0.638970412,0.307711542,0.502213116,none,none
413,ADAMTSL1,ADAMTSL3,Negative,Negative,-0.394799289,-0.697804641,-1.287954725,-1.207117324,unique_late,shared
414,DUSP16,DUSP8,none,none,-0.393123583,0.126573425,1.425238632,1.84475139,none,none
415,RHBDF1,RHBDF2,none,none,-0.39291925,-0.190204905,0.63588866,0.916016749,none,none
416,TMUB1,TMUB2,none,none,-0.390923973,0.177691393,-0.615392044,-0.220494293,none,none
417,IGF2BP3,IGF2BP1,none,none,-0.389574205,-0.251081068,-0.01645937,-0.007094889,none,none
418,CORO2A,CORO2B,none,none,-0.388716004,0.374275021,-0.068389576,0.676829584,none,none
419,TIMP3,TIMP4,none,Positive,-0.379915097,0.244780019,1.756953614,1.814884763,none,shared
420,DDR1,DDR2,none,none,-0.372990525,-0.556400283,0.071666618,0.658051434,none,none
421,MCTP1,MCTP2,none,Negative,-0.37187398,-0.769717823,-1.556812707,-1.244202646,none,shared
422,MAN1A1,MAN1C1,none,none,-0.36814839,-0.38012849,0.015977055,-0.00396813,none,none
423,GFOD2,GFOD1,none,none,-0.365798156,-0.197038463,-0.208629288,0.056609924,none,none
424,RASA3,RASA2,none,none,-0.359034842,-0.178060185,0.085478005,0.067279633,none,none
425,UBE2V2,UBE2V1,none,none,-0.353993333,-0.169200715,-0.868725448,-1.02580704,none,none
426,SNX15,RPS6KC1,none,none,-0.353725755,-0.390335212,0.201794415,0.424901332,none,none
427,MBNL1,MBNL3,none,none,-0.353079221,-0.115497666,-0.775432077,-0.566626348,none,none
428,AJUBA,WTIP,none,none,-0.348165505,-0.639611012,-0.537714554,-0.353670406,none,none
429,SRCAP,EP400,none,none,-0.346424842,-0.129175803,0.101689248,0.635033953,none,none
430,GNA12,GNA13,none,none,-0.342167698,-0.080631222,-0.84947905,-1.32102643,none,none
431,DMRTA1,DMRTA2,none,none,-0.336359643,-0.04658308,-0.151431275,-0.063358453,none,none
432,RANBP9,RANBP10,none,none,-0.334912921,-0.346856282,-0.355244187,-0.321779654,none,none
433,IFIH1,DHX58,none,none,-0.328904928,-0.501449905,-0.253461492,-0.037643172,none,none
434,SLK,STK10,none,none,-0.320416904,-0.105490216,-0.698690923,-0.580174035,none,none
435,TANC2,TANC1,none,none,-0.320083902,-0.453358915,0.06344439,0.218113022,none,none
436,ARAP3,ARAP2,none,none,-0.315921901,-0.4207181,-0.364685297,-0.374747345,none,none
437,TMEM59,TMEM59L,none,Negative,-0.314556461,-0.351152073,-0.83838115,-0.635854824,none,unique_early
438,ERC1,ERC2,none,Negative,-0.313012791,0.354833602,-0.804772323,-0.524548669,none,unique_early
439,EIF1,EIF1B,none,none,-0.310256079,-0.505418902,-0.691754389,-0.927419978,none,none
440,LIN28B,LIN28A,none,none,-0.308637229,-0.50521651,-0.296699534,0.394175914,none,none
441,HOOK2,HOOK1,none,none,-0.307963124,0.004867834,0.598321688,0.433946758,none,none
442,RAD23B,RAD23A,none,none,-0.306637723,-0.02651234,-0.555092658,-0.519223855,none,none
443,TWF1,TWF2,none,none,-0.306508317,0.220496704,0.449996724,1.186386182,none,none
444,CRELD2,CRELD1,none,none,-0.306395769,-0.054921846,-0.828757576,-0.644475524,none,none
445,APBB2,APBB3,none,Positive,-0.305984172,-0.136163126,0.97930261,1.380469364,none,shared
446,APC,CTNNB1,none,none,-0.303644993,-0.300015523,-0.289449478,-1.04606167,none,none
447,ZCCHC11,ZCCHC6,none,none,-0.303031693,-0.268008892,-0.349077528,-0.454605288,none,none
448,RIC8A,RIC8B,none,none,-0.301420888,-0.419448768,-0.620469246,-0.737745037,none,none
449,CANX,CLGN,none,none,-0.301224042,-0.329416404,-1.004299335,-0.58373071,none,none
450,USP21,USP2,none,none,-0.294317404,-0.165881186,-0.897029897,-0.703890945,none,none
451,GLIS3,GLIS1,none,none,-0.292248631,-0.305665735,-0.444272935,0.001784524,none,none
452,ZFYVE16,ZFYVE9,none,none,-0.287961128,-0.079611551,-0.287731211,-0.184018208,none,none
453,PSMA7,PSMA8,none,none,-0.283263963,-0.661226646,-0.859362957,-1.114878309,none,none
454,PRKCI,PRKCZ,none,none,-0.280321171,-0.037111446,-0.915144862,-0.362981529,none,none
455,TXNRD1,TXNRD3,none,none,-0.276329053,-0.253608711,-0.71103381,-0.446914592,none,none
456,TJP2,TJP3,none,none,-0.275619932,-0.619165468,-0.654135902,-1.012655674,none,none
457,EFHD2,EFHD1,none,none,-0.273138453,-0.106083689,0.496221431,0.660852792,none,none
458,BCL2L1,BCL2L2,none,none,-0.272778472,0.432341914,-0.90543148,-0.472993913,none,none
459,TPST1,TPST2,none,none,-0.270275946,-0.185826504,0.598168064,0.611321152,none,none
460,PGM2,PGM2L1,none,none,-0.268748109,-0.01699793,-0.449235579,-0.22929961,none,none
461,STX7,STX12,none,none,-0.265645245,0.177396141,0.290953676,0.092272823,none,none
462,PGRMC1,PGRMC2,none,none,-0.265143867,0.840422695,0.911304945,0.80084118,none,none
463,DNMBP,ARHGEF37,none,none,-0.263532054,-0.29847803,-1.108561962,-0.994225683,none,none
464,LRP1,LRP1B,none,Negative,-0.26274459,-0.576538857,-0.700434183,-0.993228743,none,unique_late
465,XYLT2,XYLT1,none,none,-0.261532309,0.048834321,-0.638068011,-0.416652922,none,none
466,SRSF1,SRSF9,none,none,-0.261180973,0.023353339,-1.92215889,-1.332102202,none,none
467,PLK2,PLK3,none,none,-0.261016058,-0.852272204,0.62334126,1.204112136,none,none
468,NIPAL1,NIPAL4,none,none,-0.258575755,-0.309773288,0.003895267,0.083549153,none,none
469,AHNAK,AHNAK2,none,none,-0.257556345,0.292191297,-0.694882794,-0.295152722,none,none
470,HNRNPL,HNRNPLL,none,none,-0.255990268,-1.153938752,-1.825138745,-1.679398236,none,none
471,KHDRBS1,KHDRBS3,none,none,-0.254078997,0.061782665,0.777212696,1.113937909,none,none
472,FSTL3,FST,none,none,-0.24957664,0.148413694,-1.078845095,-1.280355017,none,none
473,INPP4A,INPP4B,none,none,-0.247630382,-0.591811105,0.262732644,0.557843233,none,none
474,UBQLN1,UBQLN4,none,none,-0.246543013,-0.302323834,-0.398196378,-0.181257022,none,none
475,LRBA,GNAL,none,none,-0.241025583,0.22850493,0.176439616,0.169421704,none,none
476,NLGN1,NLGN4X,none,none,-0.237889456,-0.655128547,-1.021402023,-1.039329139,none,none
477,FAM78A,FAM78B,none,none,-0.236200226,0.068419265,-0.256131785,-0.104033508,none,none
478,FNDC3A,FNDC3B,none,none,-0.234937001,-0.227067098,-0.661499716,-0.595642163,none,none
479,TBC1D9B,TBC1D9,none,none,-0.231082266,-0.106042633,-0.735423376,-0.776142853,none,none
480,GPATCH2L,GPATCH2,none,none,-0.226991881,-0.04598275,-0.594332138,-0.533225829,none,none
481,RAB9A,RAB9B,none,none,-0.226293302,0.25559137,0.158344738,0.507030439,none,none
482,PLCL2,PLCL1,none,none,-0.226287134,-0.521334839,-0.193038433,0.257329148,none,none
483,ID1,ID2,none,none,-0.221438702,-0.340261073,-0.203726133,-0.091300225,none,none
484,ATP6V0A1,ATP6V0A4,none,none,-0.221240427,-0.48365061,-0.648757024,0.260760549,none,none
485,AXIN1,AXIN2,none,none,-0.21943441,-0.065865708,-0.320296719,0.047202951,none,none
486,PTPRG,PTPRZ1,none,none,-0.21908414,-0.244151817,-0.760944353,-0.492618395,none,none
487,DOCK4,DOCK3,none,none,-0.214627685,-0.167744712,-0.289727312,-0.129056566,none,none
488,GATAD2A,GATAD2B,none,none,-0.213816896,-0.659704291,0.282233802,0.382011211,none,none
489,CCND1,CCND2,none,none,-0.212648366,0.115047346,-0.684769268,-0.584926132,none,none
490,PPP3CA,PPP3CB,none,none,-0.212121884,-0.431739946,-0.552442729,-0.918984016,none,none
491,SYDE1,SYDE2,none,none,-0.210507057,-0.581696472,-0.453583147,-0.589253961,none,none
492,UNC119,UNC119B,none,Negative,-0.209164617,0.390369352,-0.963045144,-0.537825467,none,unique_early
493,ERLIN1,ERLIN2,none,none,-0.208357706,-0.415729845,-0.437891129,-0.071771793,none,none
494,PI4K2B,MME,none,none,-0.207183488,0.013330276,-0.697040325,-0.114246325,none,none
495,FER,FES,none,none,-0.205541643,0.052249317,-0.003651323,0.573831862,none,none
496,TMX1,TMX4,none,Positive,-0.205417976,-0.39801671,1.703893329,1.847209163,none,unique_late
497,ZYX,FBLIM1,none,none,-0.202869837,0.056376804,0.340886974,0.849603278,none,none
498,STX1A,STX1B,none,none,-0.19974901,0.420404518,-0.46215165,-0.339679697,none,none
499,NEK7,NEK6,none,none,-0.196742487,-0.00255413,-0.457076778,0.021889439,none,none
500,ATG4D,ATG4C,none,none,-0.19071373,-0.265135028,-0.0851799,0.000803675,none,none
501,SGTA,SGTB,none,none,-0.190635324,-0.179278153,-0.607120804,0.067817295,none,none
502,TES,LMCD1,none,none,-0.190142996,-0.046119615,-0.692583579,-0.443893922,none,none
503,PPP2CA,PPP2CB,none,none,-0.188382148,-0.315246901,-0.1682451,0.240681358,none,none
504,ATF3,JDP2,none,none,-0.18818722,-0.167996156,0.102675446,0.116283897,none,none
505,NOTCH2,NOTCH1,none,none,-0.18648555,0.15660532,0.178257552,0.081590958,none,none
506,ZFR,ZFR2,none,none,-0.185660481,-0.648112269,0.207323405,0.379412349,none,none
507,CLTC,CLTCL1,none,none,-0.185432119,-0.474894043,-0.618668981,-0.485888815,none,none
508,MET,MST1R,none,Negative,-0.18329179,-0.007071213,-0.586222772,-0.328444809,none,unique_early
509,AP1G1,AP1G2,none,none,-0.182652051,-0.577529719,0.249082681,0.442219543,none,none
510,TMEM50A,TMEM50B,none,none,-0.181091202,-0.457972015,-0.975913,-0.202242061,none,none
511,SOX12,SOX11,none,none,-0.177240083,-0.399200309,-0.022877689,0.160910743,none,none
512,TTYH3,TTYH2,none,none,-0.177017747,-0.496528214,1.083739494,1.405760119,none,none
513,FAM161B,FAM161A,none,none,-0.176536481,-0.316860029,-1.027894998,-0.932203307,none,none
514,VPS37B,VPS37C,none,none,-0.175041034,-0.482973689,-0.643626277,-0.436551038,none,none
515,PHKA2,PHKA1,none,Positive,-0.168049206,-0.539132406,0.861752741,0.828265137,none,unique_early
516,BMPR1A,BMPR1B,none,none,-0.164725514,-0.290257411,-0.123172014,0.240286274,none,none
517,VPS13A,VPS13C,none,none,-0.163202012,-0.094863517,0.07162991,0.82219988,none,none
518,RBM39,RBM23,none,none,-0.162707186,-0.649537546,1.214597671,1.264253018,none,none
519,FUCA2,FUCA1,none,none,-0.160309677,0.043321025,-0.245905171,-0.350445153,none,none
520,PLEKHB2,PLEKHB1,none,none,-0.160061949,-0.139481571,-0.189409601,0.115972147,none,none
521,RAB11A,RAB11B,none,none,-0.152912487,-0.902957015,-0.392842505,0.135416927,none,none
522,DOPEY1,DOPEY2,none,none,-0.151939889,0.299611743,-0.304678322,0.023076871,none,none
523,ZDHHC18,ZDHHC14,none,none,-0.151266932,-0.341707673,1.15472851,1.174726082,none,none
524,FAM160B2,FAM160B1,none,none,-0.14647822,-0.368473959,0.182482791,0.561182422,none,none
525,BMI1,PCGF2,none,none,-0.145610821,0.196575722,0.106452848,0.229335463,none,none
526,EXT1,EXTL1,none,none,-0.144893057,-0.800547623,-0.634396855,-0.178895532,none,none
527,UCHL3,UCHL1,none,none,-0.14385417,-0.039946667,-0.591448048,-0.127605068,none,none
528,LYSMD3,LYSMD4,none,none,-0.143716132,-0.157360034,-0.108860473,-0.213114791,none,none
529,ELMO2,ELMO3,none,none,-0.143670813,-0.201212034,-0.807148198,-0.868988539,none,none
530,DENND6A,DENND6B,none,none,-0.143241298,-0.791001017,-0.437976506,0.475628767,none,none
531,SLC44A1,SLC44A3,none,none,-0.139257652,0.003763354,0.654987222,1.035509026,none,none
532,DNAH11,DNAH17,none,none,-0.138649051,-0.350460245,0.477573036,0.316711799,none,none
533,AK3,AK4,none,Negative,-0.137985245,-0.098207545,-0.729672458,-0.970010149,none,unique_late
534,GALNT10,GALNTL6,none,none,-0.137093325,-0.37469326,-0.544578643,-0.54845316,none,none
535,FOXK2,FOXK1,none,none,-0.135892988,-0.171174316,-1.076187458,-1.092559243,none,none
536,EPS15,EPS15L1,none,none,-0.13360478,0.385061608,-0.789192914,-0.909717342,none,none
537,RAD9A,RAD9B,none,none,-0.128767814,0.268005443,0.361884469,0.685305769,none,none
538,TIAM2,TIAM1,none,none,-0.12343543,-0.493104271,-0.638015949,-0.639454792,none,none
539,EIF4G1,EIF4G3,none,none,-0.122711678,0.260021738,-0.204209352,-0.189712033,none,none
540,PPM1F,PPM1E,none,none,-0.121515484,0.520642678,-0.216447111,0.096415759,none,none
541,HSPA12A,HSPA12B,none,none,-0.119760464,-0.729772101,0.065703598,-0.10593133,none,none
542,PHF20L1,PHF20,none,none,-0.114996358,0.196827579,-0.318829236,-0.05907401,none,none
543,ST8SIA4,ST8SIA2,none,none,-0.110849583,-0.110504487,0.378787948,0.638694139,none,none
544,P4HA2,P4HA1,none,none,-0.109669453,-0.07451003,0.109059326,0.387496519,none,none
545,FEM1C,FEM1A,none,none,-0.106017346,0.091001049,-0.094960448,-0.233368248,none,none
546,MTMR12,MTMR10,none,none,-0.099673078,-0.015972351,-0.780316892,-0.495430262,none,none
547,PACS1,PACS2,none,none,-0.098175357,-0.456776967,0.65288448,0.748170425,none,none
548,ORMDL1,ORMDL3,none,none,-0.097199735,-0.139424999,-0.292960622,-0.095841134,none,none
549,SORBS2,SORBS1,none,none,-0.096744064,0.426003056,-0.153169715,0.225241191,none,none
550,GDPD1,GDPD3,none,none,-0.094253437,-0.012930596,-0.455057816,-0.797828748,none,none
551,TBC1D15,TBC1D17,none,none,-0.09404402,0.017018223,-0.062977821,0.083051477,none,none
552,PRKAR1A,PRKAR1B,none,none,-0.090031768,-0.706835886,-0.858620043,-0.830690794,none,none
553,DUSP22,DUSP15,none,none,-0.089203745,0.099950809,0.062985732,0.062049909,none,none
554,B4GALT5,B4GALT6,none,none,-0.079604357,-0.604355386,-0.264715984,0.21143726,none,none
555,GNA11,GNAQ,none,none,-0.074673547,-0.064082995,-0.751904603,-0.342768948,none,none
556,PRKCA,PRKCB,none,Negative,-0.069013388,-0.509977117,-0.976413941,-1.036612279,none,unique_early
557,MDM2,TP53,none,Positive,-0.059391688,0.111308183,1.871212731,1.414020292,none,unique_early
558,UBALD1,UBALD2,none,none,-0.058523112,0.178820099,-1.182373569,-1.09548434,none,none
559,METRN,METRNL,none,none,-0.055479793,-0.330959225,-1.416137065,-1.735123555,none,none
560,PAIP1,PAIP2,none,none,-0.054501389,0.054766049,0.071745529,0.045580931,none,none
561,BRD7,BRD9,none,none,-0.054120501,0.122471356,0.58475616,0.965594123,none,none
562,NPR2,NPR1,none,none,-0.047573737,-0.069934469,0.74572853,0.386044042,none,none
563,ETV1,ETV4,none,none,-0.043855384,0.261806573,0.664031936,0.418119573,none,none
564,NAB1,NAB2,none,none,-0.040726502,0.014452297,-0.508232728,-0.501318789,none,none
565,RPS6KA4,RPS6KA5,none,none,-0.039766611,-0.654927358,0.130592792,0.414850984,none,none
566,HERC3,HERC4,none,none,-0.037264272,0.748256368,-1.159623659,-0.409388376,none,none
567,SPOP,SPOPL,none,Negative,-0.035696543,-0.228026188,-0.552689179,-0.37558487,none,unique_early
568,LETM1,LETM2,none,none,-0.03305358,-0.527001937,-0.5574797,-0.451343531,none,none
569,PPP1R16A,PPP1R16B,none,none,-0.032229713,-0.122964794,-0.156881589,0.436461395,none,none
570,RALGAPA1,RALGAPA2,none,none,-0.031165444,-0.119438113,0.023788667,0.329594693,none,none
571,SIN3A,SIN3B,none,none,-0.025791719,0.20180642,-0.380312176,-0.322159722,none,none
572,TRA2A,TRA2B,none,none,-0.023161551,0.549883388,-1.565794519,-1.45864607,none,none
573,RAC1,RAC2,none,none,-0.020870184,0.263740899,-0.806067113,-0.223488108,none,none
574,FUBP1,FUBP3,none,none,-0.015820691,0.50384741,0.342470989,0.28379235,none,none
575,LBX2,LBX1,none,none,-0.01490707,0.017143934,-0.491665835,-0.412905593,none,none
576,CRABP2,CRABP1,none,Negative,0.00062773,0.246295832,-1.321577385,-1.391833407,none,shared
577,SMARCD1,SMARCD2,none,none,0.001143256,-0.782377634,0.763231012,0.826164432,none,none
578,PIK3CB,PIK3CD,none,none,0.004262243,-0.184259653,-0.626184444,0.082740075,none,none
579,PPP6R3,PPP6R2,none,Positive,0.008862002,-0.065994149,0.872309469,1.045161222,none,unique_early
580,ATRN,ATRNL1,none,Negative,0.011223339,0.370440701,-0.875649179,-0.62633766,none,unique_early
581,DLG3,DLG2,none,none,0.011295822,0.226912833,0.541261311,0.851311832,none,none
582,TCP11L1,TCP11L2,none,none,0.017183931,-0.102842955,0.4868338,0.773250207,none,none
583,KIF16B,STARD9,none,none,0.027088183,-0.065908659,-0.451657389,-0.042695941,none,none
584,ENO1,ENO3,none,none,0.032790666,0.077450069,0.236858634,0.263920573,none,none
585,WIPI2,WIPI1,none,none,0.033254767,-0.6959115,-0.661439134,-0.455016712,none,none
586,PWWP2A,PWWP2B,none,none,0.040782308,-0.022406241,-0.50543031,0.140072384,none,none
587,DCHS1,DCHS2,none,none,0.044679718,0.266004993,-0.075497569,0.33765511,none,none
588,LDB1,LDB2,none,none,0.046343361,-0.123272162,-0.859756036,-0.318439277,none,none
589,OSBP,OSBP2,none,none,0.047985542,-0.018430184,-0.699132886,-0.309662322,none,none
590,GMFB,GMFG,none,none,0.053222573,0.025610062,-1.013366209,-0.444468842,none,none
591,BTBD3,BTBD6,none,none,0.053776208,0.039473781,0.698850128,0.938195908,none,none
592,ELK3,ELK4,none,none,0.054989404,0.246713835,-0.664077895,-0.576623368,none,none
593,SIX1,SIX2,none,none,0.057621368,0.240980715,0.036186081,0.02351617,none,none
594,CDK14,CDK15,none,Negative,0.058703247,0.023377985,-1.159405226,-1.323254985,none,unique_early
595,PREX1,PREX2,none,none,0.059577866,0.067763593,0.439308428,0.501560582,none,none
596,KLF10,KLF11,none,none,0.062571927,-0.110853497,0.552961208,0.275591291,none,none
597,ATP6V1C1,ATP6V1C2,none,none,0.062619926,-0.169213881,0.589193279,0.950761552,none,none
598,PRPF40A,PRPF40B,none,none,0.063570298,0.324194404,0.097322088,0.532185728,none,none
599,RHPN2,RHPN1,none,none,0.066096518,0.042898279,-0.426158931,0.006677212,none,none
